regional stations: orinoquia,ele,lon,lat,DV,HR,NUB,PRE,RDIR,T,VV,AVG
FLORENCIA-DESLIZAMIENTOS AUTOMATICA ,600,-75.645027777778,1.733,0,0,0,0,2.939,0,0.331,0.47
AGUACHICA AUTOMATICA ,103,-73.579861111111,8.123416666667,0,0,0,0,1.009,1.293,0.95,0.46
SUBIA AUTOMATICA ,2075,-74.383888888889,4.476611111111,0,0,0,0,1.792,0,1.242,0.43
VIENTO LIBRE AUTOM  ,14,-77.343611111111,1.6185,0,0,0,0,2.504,0,0.427,0.42
A.J.M. CORDOVA   ,2157,-75.425916666667,6.168666666667,0,0,0,0,1.385,0,1.327,0.39
LA JOSEFINA AUTOMATICA ,245,-77.491194444444,0.930305555556,0,0,0,0,2.268,0,0.436,0.39
PNN PURACE AUTOM  ,368,-76.403543888889,2.356848888889,0,0,0,0,0,1.558,1.142,0.39
ESTRECHO PATIA   ,720,-77.120277777778,1.962777777778,0,0,0,0,2.364,0,0.335,0.39
EL PLACER AUTOM  ,22,-76.100555555556,3.879111111111,0,0,0,0,1.163,0,1.475,0.38
APTO CAMILO DAZA AUTOM ,313,-72.51125,7.931611111111,0.874,0,0,0,0.874,0,0.865,0.37
SAIZA AUTOMATICA ,287,-76.4325,7.746027777778,0,0,0,0,1.025,0.977,0.594,0.37
ACDTO MOCOA AUTOM  ,650,-76.651833333333,1.157333333333,0,0,0,0,2.032,0,0.429,0.35
A.A.BONILLA AUTOM   ,961,-76.3825,3.532991666667,0,0,0,0,1.353,0,1.074,0.35
LA LAGUNA DEL OTUN ,3944,-75.4125,4.776361111111,0,0,0,0,1.744,0,0.585,0.33
PMO CHINGAZA AUTOMATICA ,3863,-73.80325,4.713666666667,0,0,0,0,0,1.9,0.367,0.32
EL DIABLO AUTOM  ,495,-76.063833333333,2.977722222222,0,0,0,0,0.663,0.745,0.666,0.3
SILOE AUTOM   ,1238,-76.560611111111,3.4255,0,0,0,0,0.821,0,1.212,0.29
JERICO AUTOM   ,2313,-75.789527777778,5.799166666667,0,0,0,0,0.741,0,0.821,0.22
LA LAGUNA DE CAJIBIO ,1872,-76.595444444444,2.699175,0,0,0,0,1.295,0,0.196,0.21
BALBOA AUTOMATICA ,17,-77.221666666667,2.032777777778,0,0,0,0,1.071,0,0.327,0.2
STA RITA ,72,-72.368333333333,8.185555555556,0.004,0.003,1.098,0,0,0.003,0.211,0.19
