code,name,source,TS,HR,PR,VV,DV,NUB
29015040,CARMEN DE BOLIVAR AUTOMATICA [29015040],IDEAM,0,7.6,0.79,7.28,2.78,0
24035390,PMO ALMORZADERO AUTOMATICA [24035390],IDEAM,0,10.81,11.02,7.28,7.3,0
800090,SIMON BOLIVAR,NOAA,5.82,5.82,5.82,5.82,5.82,5.82
801440,EL CARANO,NOAA,4.57,4.57,4.57,4.57,4.57,4.57
35085060,ZETAQUIRA AUTOMATICA [35085060],IDEAM,0,10.65,1.06,1.05,1.04,0
11037030,LA LOMA PUEBLO NUEVO AUTOMATICA[11037030],IDEAM,0,0,35.84,0,0,0
44015060,ACDTO MOCOA AUTOM  [44015060],IDEAM,0,6.23,1.05,1.05,1.03,0
23105060,VEGACHI AUTOM   [23105060],IDEAM,0,7.01,5.93,3.64,3.64,0
26125300,CALARCA AUTOM   [26125300],IDEAM,0,11.21,1.04,6.94,9.59,0
802590,ALFONSO BONILLA ARAGON INTL,NOAA,10.42,10.42,10.42,10.42,10.42,10.42
23117030,EL TAGUAL AUTOMATICA[23117030],IDEAM,0,0,5.45,0,0,0
15067210,CARACOLI AUTOMATICA[15067210],IDEAM,0,0,1.34,0,0,0
26237040,PTO VALDIVIA AUTOM  [26237040],IDEAM,0,0,1.07,0,0,0
52015050,BALBOA AUTOMATICA [52015050],IDEAM,0,2.29,0.84,0.81,0.81,0
26207080,BOLOMBOLO AUTOM   [26207080],IDEAM,0,0,1.05,0,0,0
16057030,LA CABAÑA AUTOMATICA[16057030],IDEAM,0,0,10.07,0,0,0
26105250,ZARAGOZA AUTOM   [26105250],IDEAM,0,10.41,1.06,8.92,8.97,0
21257120,PTE GATO NEGRO AUTOMATICA [21257120],IDEAM,0,0,12.16,0,0,0
800940,PALONEGRO,NOAA,7.72,7.72,7.72,7.72,7.72,7.72
26135300,PNN QUIMBAYA AUTOM  [26135300],IDEAM,0,7.95,1.06,4.55,4.56,0
26247020,LA COQUERA AUTOM  [26247020],IDEAM,0,0,0.6,0,0,0
35215030,,,0,0.09,0.09,0.09,0.1,0
52055150,CERRO PARAMO PUERRES AUTOMATICA [52055150],IDEAM,0,9.23,1.04,1.03,1.01,0
28025502,APTO ALFONSO LOPEZ - AUTOM [28025502],IDEAM,0,1.47,1.07,1.46,1.46,0
52055210,BOTANA AUTOM   [52055210],IDEAM,0,10.85,1.07,1.05,1.03,0
26075120,LA DIANA AUTOM  [26075120],IDEAM,0,11.52,1.04,8.66,8.71,0
29045000,SABANALARGA AUTOMATICA [29045000],IDEAM,0,3.42,0,3.16,3.16,0
26127010,EL ALAMBRADO   [26127010],IDEAM,0,0,0.66,0,0,0
25027750,,,0,0,0.65,0,0,0
52077010,PTE PUSMEO AUTOM  [52077010],IDEAM,0,0,0.81,0,0,0
15067200,EL SILENCIO AUTOMATICA [15067200],IDEAM,0,0,0.72,0,0,0
11135030,UNGUIA AUTOM   [11135030],IDEAM,4.92,5.49,0.05,0.42,18.95,0
52045080,UNIV DE NARIÑO  [52045080],IDEAM,0,11.14,1.06,1.05,1.02,0
25025280,EL TESORO IDEAM AUTOMATICA [25025280],IDEAM,0,5.26,1.03,4.96,4.98,0
35027001,PLAZA DE FERIAS AUTOMATICA[3502512],IDEAM,0,0,1.04,0,0,0
23037010,PTO SALGAR AUTOM  [23037010],IDEAM,0,0,7.53,0,0,0
21206930,PMO GUERRERO AUTOMATICA [21206930],IDEAM,10.74,10.62,10.67,6.85,6.76,0
26105240,EL PLACER AUTOM  [26105240],IDEAM,0,4.41,1.03,3.75,3.34,0
803000,GUAPI,NOAA,0.01,0.01,0.01,0.01,0.01,0.01
27015290,PAJARITO AUTOM   [27015290],IDEAM,0,10.24,1,8.82,8.92,0
44035050,MACAGUAL AUTOMATICA [44035050],IDEAM,0,8.2,0.87,0.86,0.84,0
29065000,MEDIA LUNA AUTOM [29065000],IDEAM,0,3.24,1.09,3.13,3.12,0
21137010,PURIFICACION AUTOM   [21137010],IDEAM,0,0,4.65,0,0,0
26155240,PNN NEVADOS AUTOM  [26155240],IDEAM,0,8.8,1.06,8.74,8.68,0
26095320,EL VINCULO AUTOM  [26095320],IDEAM,0,8.57,1.07,5.57,5.57,0
23067060,TOBIA [23067060],IDEAM,0,0,1.84,0,0,0
52055170,LA JOSEFINA AUTOMATICA [52055170],IDEAM,0,6.43,1.07,1.06,1.03,0
26055110,LA INDEPENDENCI   [26055110],IDEAM,0,12.38,0.87,10.85,10.81,0
32105080,SAN JOSE DEL GUAVIARE AUTOMATICA [32105080],IDEAM,0,4.13,0,0.51,17.86,0
16017030,LA UCHEMA AUTOMATICA [16017030],IDEAM,0,0,4.92,0,0,0
52055160,VOLCAN CHILES AUTOMATICA [52055160],IDEAM,0,0.8,0.16,0.15,0.14,0
27015300,VILLANUEVA VILLAHERMOSA   [27015300],IDEAM,0,5.33,0,4.55,2.35,0
27015280,PMO BELMIRA AUTOM  [27015280],IDEAM,0,9.86,0.92,9.85,9.84,0
29004520,,,3.72,3.72,0,0,3.74,0
35035110,SALINAS DE UPIN AUTOMATICA [35035110],IDEAM,0,8.62,0.99,0.99,8.67,0
35160000,,,0,0,0.68,0,0,0
27015320,ARAGON AUTOM   [27015320],IDEAM,0,11.38,1.03,9,9.02,0
36015020,EL DIAMANTE AUTOMATICA [36015020],IDEAM,0,6.76,5.85,0.11,3.62,0
23127020,PTO ARAUJO AUTOMATICA [23127020],IDEAM,0,0,7.59,0,0,0
25025350,PUERTA ROJA AUTOMATICA [25025350],IDEAM,0,9.84,0.66,7.11,7.19,0
23050420,ARGELIA ANTIOQUIA   [23050420],IDEAM,0,0,7.04,0,0,0
23057140,SAN MIGUEL AUTOM  [23057140],IDEAM,0,0,6.17,0,0,0
21167060,SAN PABLO TOLIMA  [21167060],IDEAM,0,0,3.23,0,0,0
25027760,,,0,0,0.21,0,0,0
54077210,,,0,8.24,1.01,1,0.98,0
29035200,REPELON AUTOM   [29035200],IDEAM,0,3.06,0.55,2.06,2.07,0
15067220,PTE CARRETERA AUTOM [15067220],IDEAM,0,0,6,0,0,0
21097070,PTE SANTANDER AUTOM [21097070],IDEAM,0,0,5.69,0,0,0
35237030,,,0,0,0.08,0,0,0
37055010,APTO ARAUCA [37055010],IDEAM,0,0,0,0,0,0
56019010,BAHIA SOLANO AUTOMATICA [56019010],IDEAM,0,0.68,0,0,0,0
17019010,SAN ANDRES AUTOMATICA [17019010],IDEAM,0,0,0.03,0,0,0
