,stationcode,nombre,lat,lon,alt
0,35025090,BOSQUE INTERVENIDO   [35025090],4.664888888889,-73.846638888889,2944
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,NUB,36827,87506,0.42,36193,0.98,04/05/2008 14:00:00,28/04/2018 16:00:00
,DV,36827,87506,0.42,12003,0.33,04/05/2008 14:00:00,28/04/2018 16:00:00
,HR,36827,87506,0.42,35318,0.96,04/05/2008 14:00:00,28/04/2018 16:00:00
,TS,36827,87506,0.42,35358,0.96,04/05/2008 14:00:00,28/04/2018 16:00:00
,PR,36827,87506,0.42,5647,0.15,04/05/2008 14:00:00,28/04/2018 16:00:00
,VV,36827,87506,0.42,36639,0.99,04/05/2008 14:00:00,28/04/2018 16:00:00
31,16055120,AGUAS DE LA VIRGEN AUTOMATICA [16055120],8.227694444444,-73.3975,1700
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,RS,31493,100080,0.31,27609,0.88,25/09/2006 10:00:00,24/02/2018 10:00:00
,DV,219046,600413,0.36,219033,1,25/09/2006 09:10:00,23/02/2018 22:00:00
,VV,219528,600827,0.37,219358,1,25/09/2006 09:10:00,26/02/2018 19:00:00
,HR,36687,100153,0.37,36677,1,25/09/2006 10:00:00,27/02/2018 11:00:00
,PR,220374,600839,0.37,220368,1,25/09/2006 09:10:00,26/02/2018 21:00:00
,TS,36633,100061,0.37,36624,1,25/09/2006 10:00:00,23/02/2018 15:00:00
32,26085170,BASE AEREA MFS  [26085170],3.4545,-76.499722222222,975
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,DV,512763,591872,0.87,506062,0.99,23/11/2006 14:50:00,23/02/2018 20:10:00
,HR,86262,98731,0.87,86256,1,23/11/2006 16:00:00,27/02/2018 11:00:00
,VV,507418,592292,0.86,506457,1,23/11/2006 14:50:00,26/02/2018 18:10:00
,PR,52776,60804,0.87,52776,1,31/12/2016 14:10:00,26/02/2018 20:10:00
,RS,86521,98656,0.88,80041,0.93,23/11/2006 17:00:00,24/02/2018 09:00:00
33,820670,IAUARETE,0.608,-69.186,105.2
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
